,id,read_rate,from_domain_hash,Domain_extension,day,campaign_size,unique_user_cnt,avg_domain_read_rate,avg_domain_inbox_rate,avg_user_avg_read_rate,avg_user_domain_avg_read_rate,mb_superuser,mb_engper,mb_supersub,mb_engsec,mb_inper,mb_insec,mb_unengsec,mb_idlesub,Discretized_Read_Rate
5,6,0.081395349,636ae4d78ec2b46248fc59ac1ad737df,com,Tues,86.0,81.0,0.047170067,0.9210837629999999,0.070127435,0.068676617,0.082352941,0.094117647,0.176470588,0.21176470600000002,0.0,0.294117647,0.141176471,0.0,3
6,7,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Sat,26.0,13.0,0.26360952,0.5492744979999999,0.148603663,0.195067039,0.083333333,0.833333333,0.0,0.0,0.0,0.083333333,0.0,0.0,1
7,8,0.076923077,f74d39fa044aa309eaea14b9f57fe79c,com,Sat,13.0,13.0,0.19130118,0.687118735,0.04514496,0.038260625,0.0,0.923076923,0.0,0.0,0.076923077,0.0,0.0,0.0,2
8,9,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Mon,16.0,16.0,0.06157230599999999,0.232202866,0.0060403359999999994,0.000249977,0.0,0.3125,0.125,0.0625,0.0,0.4375,0.0,0.0625,1
9,10,0.363636364,636ae4d78ec2b46248fc59ac1ad737df,com,Wed,11.0,11.0,0.047170067,0.9210837629999999,0.258562179,0.34740552,0.272727273,0.363636364,0.090909091,0.090909091,0.0,0.0,0.181818182,0.0,10
13,14,0.064516129,f74d39fa044aa309eaea14b9f57fe79c,com,Sun,31.0,30.0,0.19130118,0.687118735,0.046256881,0.032112919,0.032258065,0.580645161,0.0,0.0,0.322580645,0.064516129,0.0,0.0,2
15,16,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Tues,18.0,10.0,0.047170067,0.9210837629999999,0.221984997,0.338079289,0.38888888899999996,0.166666667,0.166666667,0.166666667,0.0,0.055555556,0.055555556,0.0,1
16,17,0.0,6fdbb56d34c37686995e7032c23b8fd8,org,Sat,12.0,12.0,0.057740063,0.963496937,0.055150492,0.021231485,0.0,0.333333333,0.333333333,0.083333333,0.0,0.0,0.25,0.0,1
23,24,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Fri,27.0,27.0,0.26360952,0.5492744979999999,0.017716232,0.026544314,0.037037037,0.074074074,0.25925925899999996,0.222222222,0.0,0.222222222,0.185185185,0.0,1
26,27,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Mon,899.0,1.0,0.26360952,0.5492744979999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
30,31,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Sat,17.0,17.0,0.06157230599999999,0.232202866,0.001584661,0.0,0.0,0.117647059,0.117647059,0.058823529000000006,0.058823529000000006,0.529411765,0.117647059,0.0,1
33,34,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Sun,22.0,22.0,0.26360952,0.5492744979999999,0.038550067,0.035300605,0.045454545,0.22727272699999998,0.363636364,0.0,0.045454545,0.272727273,0.045454545,0.0,1
58,59,0.011235955,50cd1a9a183758039b0841aa738c3f0b,com,Sun,89.0,58.0,0.26360952,0.5492744979999999,0.022151828,0.023904615,0.011235955,0.40449438200000004,0.06741573,0.06741573,0.25842696600000004,0.112359551,0.078651685,0.0,1
61,62,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Thurs,18.0,18.0,0.06157230599999999,0.232202866,0.010136381,0.006496287,0.0,0.166666667,0.111111111,0.222222222,0.055555556,0.222222222,0.222222222,0.0,1
69,70,0.055555556,f74d39fa044aa309eaea14b9f57fe79c,com,Mon,36.0,36.0,0.19130118,0.687118735,0.05952381599999999,0.09771593599999999,0.027777778,0.13888888900000002,0.36111111100000004,0.166666667,0.0,0.111111111,0.194444444,0.0,2
75,76,0.587529976,ea5ddf3148ee6dad41c76e96cb00e1a9,com,Sat,417.0,342.0,0.21218786399999998,0.61564894,0.243579458,0.40510475799999995,0.323600973,0.33819951299999995,0.131386861,0.07785888099999999,0.00486618,0.08029197099999999,0.03649635,0.00729927,13
